,FileName,FloatWMO,Pres_Adj,Temp_Adj,Sal_Adj,Oxy_Adj,Flux_Calc
0,coriolis/1901209,1901209,1.0,1.0,1.0,0.0,0.0
1,coriolis/1901215,1901215,1.0,1.0,1.0,0.0,0.0
2,coriolis/4900607,4900607,1.0,1.0,1.0,0.0,0.0
3,coriolis/4900610,4900610,1.0,1.0,1.0,0.0,0.0
34,meds/4900879,4900879,1.0,1.0,1.0,1.0,1.0
35,meds/4900880,4900880,1.0,1.0,1.0,1.0,1.0
36,meds/4901141,4901141,1.0,1.0,1.0,1.0,1.0
37,meds/4902410,4902410,1.0,1.0,1.0,0.0,1.0
4,coriolis/5902269,5902269,1.0,1.0,1.0,0.0,0.0
5,coriolis/5902297,5902297,1.0,1.0,1.0,0.0,0.0
6,coriolis/5902298,5902298,1.0,1.0,1.0,0.0,0.0
7,coriolis/5902299,5902299,1.0,1.0,1.0,0.0,0.0
8,coriolis/5902302,5902302,1.0,1.0,1.0,0.0,0.0
9,coriolis/5902304,5902304,1.0,1.0,1.0,0.0,0.0
10,coriolis/5904988,5904988,1.0,1.0,1.0,1.0,1.0
11,coriolis/6900346,6900346,1.0,0.0,0.0,0.0,0.0
12,coriolis/6900643,6900643,1.0,1.0,1.0,1.0,0.0
13,coriolis/6901022,6901022,1.0,1.0,1.0,0.0,0.0
14,coriolis/6901023,6901023,1.0,1.0,1.0,0.0,0.0
15,coriolis/6901026,6901026,1.0,1.0,0.0,0.0,0.0
16,coriolis/6901481,6901481,,,,,
17,coriolis/6901482,6901482,,,,,
18,coriolis/6901484,6901484,0.0,0.0,0.0,0.0,0.0
19,coriolis/6901485,6901485,1.0,1.0,1.0,0.0,0.0
20,coriolis/6901489,6901489,,,,,
21,coriolis/6901517,6901517,,,,,
22,coriolis/6901519,6901519,1.0,1.0,1.0,1.0,1.0
23,coriolis/6901525,6901525,,,,,
24,coriolis/6901646,6901646,0.0,0.0,0.0,1.0,1.0
25,coriolis/6901753,6901753,1.0,1.0,1.0,0.0,0.0
26,coriolis/6901754,6901754,1.0,1.0,1.0,0.0,0.0
27,coriolis/6901755,6901755,1.0,1.0,1.0,1.0,1.0
28,coriolis/6902800,6902800,1.0,1.0,1.0,1.0,1.0
29,coriolis/6902802,6902802,1.0,1.0,1.0,0.0,1.0
30,coriolis/6902805,6902805,1.0,1.0,1.0,1.0,1.0
31,coriolis/6902808,6902808,1.0,1.0,1.0,0.0,0.0
32,coriolis/6902886,6902886,0.0,0.0,0.0,0.0,0.0
33,coriolis/6902888,6902888,0.0,0.0,0.0,0.0,0.0
